Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
MMM,3M,reports,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",8/9/76,66740,1902
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/64,1800,1888
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,1551152,2013 (1888)
ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/18,815094,1981
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373,1989
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/15,718877,2008
ADBE,Adobe,reports,Information Technology,Application Software,"San Jose, California",5/5/97,796343,1982
AMD,Advanced Micro Devices,reports,Information Technology,Semiconductors,"Santa Clara, California",,2488,1969
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/15,1158449,1932
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,874761,1981
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,4977,1955
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",6/5/00,1090872,1999
APD,Air Products & Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,2969,1940
AKAM,Akamai Technologies,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/07,1086222,1998
ALK,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",5/13/16,766421,1985
ALB,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/16,915913,1994
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",3/20/17,1035443,1994
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",6/19/17,1097149,1997
ALLE,Allegion,reports,Industrials,Building Products,"New York City, New York",12/2/13,1579241,1908
LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541,1917
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/95,899051,1931
GOOGL,Alphabet (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/14,1652044,1998
GOOG,Alphabet (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/06,1652044,1998
MO,Altria Group,reports,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/57,764180,1985
AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1018724,1994
AMCR,Amcor,reports,Materials,Paper Packaging,"Zurich, Switzerland",6/7/19,1748790,2019 (1860)
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201,1934
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",3/4/57,4904,1906
AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",6/30/76,4962,1850
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York City, New York",3/31/80,5272,1919
AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507,1995
AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",3/4/16,1410636,1886
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,820027,1894
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/01,1140859,1985
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868,1930
AMGN,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980
APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,820313,1932
ADI,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/99,6281,1965
ANSS,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,1013462,1969
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,1156039,2014 (1946)
AON,Aon,reports,Financials,Insurance Brokers,"London, UK",4/23/96,315293,1982 (1919)
AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,91142,1916
APA,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,6769,1954
AAPL,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977
AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/95,6951,1967
APTV,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/12,1521332,1994
ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/81,7084,1902
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",8/28/18,1596532,2004
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/16,354190,1927
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",4/10/07,1267238,1892
T,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",2/15/19,731802,1906
ADSK,Autodesk,reports,Information Technology,Application Software,"San Rafael, California",12/1/89,769397,1982
ADP,Automatic Data Processing,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",3/31/81,8670,1949
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/97,866787,1979
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/07,915912,1978
AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",12/31/87,8818,1990
BKR,Baker Hughes,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/17,1701605,2017
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,9389,1880
BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,70858,1998 (1923 / 1874)
BBWI,Bath & Body Works,reports,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",9/30/83,701985,1963
BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,10456,1931
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795,1897
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983,1839
BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,764478,1966
BIO,Bio-Rad Laboratories,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/20,12208,1952
TECH,Bio-Techne,reports,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/21,842023,1976
BIIB,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/03,875045,1978
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/11,1364742,1988
BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/95,1390777,1784
BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",3/4/57,12927,1916
BKNG,Booking Holdings,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,1075531,1996
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255,1880
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,1037540,1970
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/95,885725,1979
BMY,Bristol Myers Squibb,reports,Health Care,Health Care Distributors,"New York City, New York",3/4/57,14272,1989
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",5/8/14,1730168,1961
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1383312,1962
BRO,Brown & Brown,reports,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/21,79282,1939
BF.B,Brown–Forman,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693,1870
CHRW,C. H. Robinson,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1043277,1905
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",9/18/17,813672,1988
CZR,Caesars Entertainment,reports,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/21,1590895,1973
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/57,16732,1869
COF,Capital One,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,927628,1994
CAH,Cardinal Health,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,721371,1971
KMX,CarMax,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,1170010,1993
CCL,Carnival Corporation,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,815097,1972
CARR,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/20,1783180,2020 (1915)
CTLT,Catalent,reports,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/20,1596783,2007
CAT,Caterpillar,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",3/4/57,18230,1925
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,1374310,1973
CBRE,CBRE,reports,Real Estate,Real Estate Services,"Dallas, Texas",11/10/06,1138118,1906
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/19,1402057,1984
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",12/24/18,1306830,1918
CNC,Centene,reports,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/16,1071739,1984
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",7/31/85,1130310,1882
CDAY,Ceridian,reports,Information Technology,Application Software,"Minneapolis, Minnesota",9/20/21,1725057,1992
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/10,804753,1979
CF,CF Industries,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1324404,1946
CRL,Charles River Laboratories,reports,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/21,1100682,1947
SCHW,Charles Schwab,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/97,316709,1971
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/16,1091667,1993
CVX,Chevron,reports,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/57,93410,1879
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/11,1058090,1993
CB,Chubb,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/10,896159,1985
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/15,313927,1847
CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/76,1739940,1982
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/97,20286,1950
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",3/1/01,723254,1929
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",12/1/93,858877,1984
C,Citigroup,reports,Financials,Diversified Banks,"New York City, New York",5/31/88,831001,1998
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",1/29/16,759944,1828
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/99,877890,1989
CLX,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",3/31/69,21076,1913
CME,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/06,1156375,1848
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/99,811156,1886
KO,Coca-Cola,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/57,21344,1886
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/06,1058290,1994
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",3/4/57,21665,1806
CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/02,1166691,1963
CMA,Comerica,reports,Financials,Diversified Banks,"Dallas, Texas",12/1/95,28412,1849
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/83,23217,1919
